city,lat,lng,temp_max,humidity,cloudiness,wind speed,country,date
luderitz,-26.65,15.16,65.8,51,85,12.86,NA,1604269709
sal rei,16.18,-22.92,77.0,83,75,10.29,CV,1604269710
hamilton,39.18,-84.53,41.0,51,1,3.0,US,1604269710
coquimbo,-29.95,-71.34,55.4,82,75,12.75,CL,1604269710
juegang,32.32,121.19,64.0,1,96,7.96,CN,1604269711
antsohihy,-14.88,47.99,74.79,72,91,3.38,MG,1604269711
nizwa,22.93,57.53,60.03,34,0,1.19,OM,1604269713
quatre cocos,-20.21,57.76,69.8,68,40,9.17,MU,1604269713
neyshabur,36.21,58.8,53.11,42,9,1.19,IR,1604269714
camacha,33.08,-16.33,66.2,88,20,1.12,PT,1604269716
saint-leu,-21.15,55.28,69.8,60,90,5.82,RE,1604269716
asosa,10.07,34.53,62.92,89,9,3.44,ET,1604269716
honiara,-9.43,159.95,87.8,70,20,5.82,SB,1604269717
jiuquan,39.74,98.52,32.23,82,0,3.56,CN,1604269717
los llanos de aridane,28.66,-17.92,77.0,33,0,11.41,ES,1604269717
tabou,4.42,-7.35,77.97,87,33,6.22,CI,1604269717
lasa,46.62,10.7,50.0,71,75,5.82,IT,1604269527
buala,-8.14,159.59,85.1,72,90,6.22,SB,1604269719
madang,-5.22,145.8,81.03,81,56,3.69,PG,1604269720
cabedelo,-6.98,-34.83,78.8,83,20,10.29,BR,1604269720
kwekwe,-18.93,29.81,65.46,64,0,8.14,ZW,1604269721
price,39.6,-110.81,62.6,20,1,6.93,US,1604269721
ubinskoye,55.31,79.68,35.74,95,100,10.16,RU,1604269722
fukue,32.69,128.84,66.22,81,100,14.0,JP,1604269722
san patricio,28.02,-97.52,82.0,39,20,14.99,US,1604269595
sinnamary,5.38,-52.95,81.43,78,99,10.85,GF,1604269723
bonthe,7.53,-12.51,79.63,86,0,5.5,SL,1604269724
ovsyanka,55.96,92.55,37.4,74,0,8.95,RU,1604269724
carnarvon,-24.87,113.63,68.0,72,40,16.11,AU,1604269725
fairbanks,64.84,-147.72,1.99,77,40,1.59,US,1604269480
kargopol,61.51,38.95,27.82,97,0,3.2,RU,1604269726
san rafael,-34.62,-68.33,82.44,15,2,14.7,AR,1604269727
kupang,-10.17,123.58,80.51,72,96,5.28,ID,1604269727
luganville,-15.53,167.17,82.4,78,75,11.41,VU,1604269728
coahuayana,18.73,-103.68,87.66,58,5,4.61,MX,1604269728
meulaboh,4.14,96.13,75.92,88,100,0.65,ID,1604269729
mawlaik,23.63,94.42,73.74,95,97,0.94,MM,1604269729
nago,26.59,127.98,71.6,93,1,4.7,JP,1604269730
lensk,60.73,114.93,-1.23,89,0,4.38,RU,1604269731
bungu,-7.63,39.06,70.81,95,37,2.71,TZ,1604269731
zvishavane,-20.33,30.07,65.03,68,83,5.37,ZW,1604269731
boditi,6.97,37.87,58.17,94,99,3.33,ET,1604269732
bradford,53.79,-1.75,62.01,87,40,26.4,GB,1604269732
ust-tsilma,65.44,52.15,28.94,96,96,7.7,RU,1604269733
sumenep,-7.02,113.87,79.43,75,92,2.42,ID,1604269733
lorengau,-2.02,147.27,85.3,69,16,6.15,PG,1604269733
linfen,36.09,111.52,49.69,44,0,2.62,CN,1604269734
